,STOCK_FAMILY,STOCK_CATEGORY_NEW,STOCK_CATEGORY,TARGET_TYPE,TRANSIT_TYPE,TERMINAL_TYPE,REFINERY_AREA_DESC,LOCATION_LEVEL_0,LOCATION_LEVEL_1,LOCATION_LEVEL_2,REFINERY_AREA,VOLUME_MBD_TARGET,RECORD_ID,YEAR,MONTH,VOLUME_MBD_ACTUAL
2918,OTHER,OTHER,TRANSMIX,CALCULATED,IN TRANSIT,IN TRANSIT,EL SEGUNDO,US WEST COAST,EL SEGUNDO SUPPLY AREA,SOCAL AREA,ELSE,1.03,4fb5b457890c89d503c4ebcfc0a9858402c36dd32eda4c799f87e50387f020cf,2022,Mar,2.527116020682918
2919,OTHER,OTHER,TRANSMIX,CALCULATED,IN TRANSIT,IN TRANSIT,EL SEGUNDO,US WEST COAST,EL SEGUNDO SUPPLY AREA,SOCAL AREA,ELSE,0.9,24e403c4ee8e614477f84095d924f5efebe7a3ca42a80f94fa1e4ce006259e3c,2022,Mar,2.338615687717313
2920,OTHER,OTHER,TRANSMIX,CALCULATED,IN TANK,IN TRANSIT,RICHMOND,US WEST COAST,RICHMOND SUPPLY AREA,BAY AREA,RICH,0.28,0ec9a6b34076c67ea93390b9a3bc4a3512c25ef7508754683c124694fdef3eea,2022,Apr,0.131222913733626
2921,OTHER,OTHER,TRANSMIX,CALCULATED,IN TANK,TERMINAL,EL SEGUNDO,US WEST COAST,EL SEGUNDO SUPPLY AREA,SOCAL AREA,ELSE,1.57,d670706ad5af45086159cfffa23123a6c8cd5af7e7178c5ce394c4dbdaa9fd6e,2022,Apr,2.850032594224854
2922,OTHER,OTHER,TRANSMIX,CALCULATED,IN TANK,TERMINAL,EL SEGUNDO,US WEST COAST,EL SEGUNDO SUPPLY AREA,SOCAL AREA,ELSE,0.11,e562ae9e7075e06fab1422c1e085c3f599c92dae20fe7188e77cff763d101080,2022,Apr,0.2929685724478927
2923,OTHER,OTHER,TRANSMIX,CALCULATED,IN TANK,TERMINAL,PASCAGOULA,US EAST,PASCAGOULA SUPPLY AREA,FLORIDA,PASC,0.24,c93c1a96ed18a2d3fcd883355cfd9b6a8be4b31773e2b259610fa03354499c15,2022,Apr,0.393960113960114
2924,OTHER,OTHER,TRANSMIX,CALCULATED,IN TANK,TERMINAL,RICHMOND,US WEST COAST,RICHMOND SUPPLY AREA,BAY AREA,RICH,0.01,a6e730e3c4cec873aa7130fee31901445f3680cf3f3d400d7a86e08398bc2c6f,2022,Apr,0.13454473609188647
2925,OTHER,OTHER,TRANSMIX,CALCULATED,IN TRANSIT,IN TRANSIT,EL SEGUNDO,US WEST COAST,EL SEGUNDO SUPPLY AREA,SOCAL AREA,ELSE,1.03,aa6411214bfcba47719a5e3c431f892cdd0995195415a5ef7319649b35339fb0,2022,Apr,2.698801353589543
2926,OTHER,OTHER,TRANSMIX,CALCULATED,IN TRANSIT,IN TRANSIT,EL SEGUNDO,US WEST COAST,EL SEGUNDO SUPPLY AREA,SOCAL AREA,ELSE,0.9,770fdc625e2a1eeb8f574cf101f812f832319ba59ea6aa93914c53ac94b4f34d,2022,Apr,2.6272509070944854
2927,OTHER,OTHER,TRANSMIX,CALCULATED,IN TANK,IN TRANSIT,RICHMOND,US WEST COAST,RICHMOND SUPPLY AREA,BAY AREA,RICH,0.28,a8f51dc8cf9de1599522b1297d58dec4b5d3321c18192d34b7db0b7fb8c2a795,2022,May,0.16344133246623505
2928,OTHER,OTHER,TRANSMIX,CALCULATED,IN TANK,TERMINAL,EL SEGUNDO,US WEST COAST,EL SEGUNDO SUPPLY AREA,SOCAL AREA,ELSE,1.57,5570e4a94fa1c0d07af6d6d4e2b192d932aa3c476a35eaed5e0c3034da9da4b6,2022,May,2.0427713909409695
2929,OTHER,OTHER,TRANSMIX,CALCULATED,IN TANK,TERMINAL,EL SEGUNDO,US WEST COAST,EL SEGUNDO SUPPLY AREA,SOCAL AREA,ELSE,0.11,65cee24686bf6e5b8054808a81c17e73a5205b477faae6d84b92939972b00394,2022,May,0.48385423809707384
2930,OTHER,OTHER,TRANSMIX,CALCULATED,IN TANK,TERMINAL,PASCAGOULA,US EAST,PASCAGOULA SUPPLY AREA,FLORIDA,PASC,0.24,83083ca4d1d34647b6c0357759e7390b1016102a26bb2b0c3811f31bc0a58dcd,2022,May,0.35648160643533733
2931,OTHER,OTHER,TRANSMIX,CALCULATED,IN TANK,TERMINAL,RICHMOND,US WEST COAST,RICHMOND SUPPLY AREA,BAY AREA,RICH,0.01,c995fa6b261da864a4305936552a0173c9041a532ac1f1dd5291fbd822150699,2022,May,0.06834079731569098
2932,OTHER,OTHER,TRANSMIX,CALCULATED,IN TANK,TERMINAL,EL SEGUNDO,US WEST COAST,EL SEGUNDO SUPPLY AREA,SOCAL AREA,ELSE,9.91,e164c7806b2d771e35472c14f2f65c6e640cfd3b989318569bec8247e815a072,2022,May,5.1674875207986695
2933,OTHER,OTHER,TRANSMIX,CALCULATED,IN TRANSIT,IN TRANSIT,EL SEGUNDO,US WEST COAST,EL SEGUNDO SUPPLY AREA,SOCAL AREA,ELSE,0.9,7c0f12a773104cc15a3dc670aea090651c486cc449311327fdc7677fa2894a79,2022,May,2.9456518085374235
2934,OTHER,OTHER,TRANSMIX,CALCULATED,IN TANK,IN TRANSIT,RICHMOND,US WEST COAST,RICHMOND SUPPLY AREA,BAY AREA,RICH,0.28,0c555e925dd1a4675e5fc596d5e2057e487b031f45a75436bbc8b20d4515c4df,2022,Jun,0.28389954903395265
2935,OTHER,OTHER,TRANSMIX,CALCULATED,IN TANK,TERMINAL,EL SEGUNDO,US WEST COAST,EL SEGUNDO SUPPLY AREA,SOCAL AREA,ELSE,0.11,c53c1957956d031a004a9485987e21cbc275ef1cd9b19dbf5a9d387da02f924c,2022,Jun,0.4333832101958353
2936,OTHER,OTHER,TRANSMIX,CALCULATED,IN TANK,TERMINAL,PASCAGOULA,US EAST,PASCAGOULA SUPPLY AREA,FLORIDA,PASC,0.24,07343ce30bbfdaa0c21ac3293f042e4df4019765a4aa8b9bf485822cd864820e,2022,Jun,0.3294480976456116
2937,OTHER,OTHER,TRANSMIX,CALCULATED,IN TANK,TERMINAL,RICHMOND,US WEST COAST,RICHMOND SUPPLY AREA,BAY AREA,RICH,0.01,19ba26d5fd951dc6985c9bdbd7ad4ab953b4c2cb4334da5116319d55edc95a0a,2022,Jun,0.25760742099998396
2938,OTHER,OTHER,TRANSMIX,CALCULATED,IN TRANSIT,IN TRANSIT,EL SEGUNDO,US WEST COAST,EL SEGUNDO SUPPLY AREA,SOCAL AREA,ELSE,1.03,e86dc557154c91dd2e3a64268e121b4690d353b964d25248aae6e2abc6d2f9c3,2022,Jun,2.2776961433101595
2939,OTHER,OTHER,TRANSMIX,CALCULATED,IN TANK,TERMINAL,EL SEGUNDO,US WEST COAST,EL SEGUNDO SUPPLY AREA,SOCAL AREA,ELSE,9.91,a8ef924676857872b32aa1c66f30db376d54f4866682d53133f590ba81c1cb03,2022,Jun,3.602728785357737
2940,OTHER,OTHER,TRANSMIX,CALCULATED,IN TRANSIT,IN TRANSIT,EL SEGUNDO,US WEST COAST,EL SEGUNDO SUPPLY AREA,SOCAL AREA,ELSE,0.9,2ea9abcd365adbc76773627035f3e6ae3651591ac0327d131bcc8a4df2a5eb5a,2022,Jun,2.2354608825907984
2941,OTHER,OTHER,TRANSMIX,CALCULATED,IN TANK,IN TRANSIT,RICHMOND,US WEST COAST,RICHMOND SUPPLY AREA,BAY AREA,RICH,0.28,aba8151b2bfa96c3afaf0f0cb12b085efcb544a70a5559b53cadc126adcdab13,2022,Jul,0.23758298840788303
2942,OTHER,OTHER,TRANSMIX,CALCULATED,IN TANK,TERMINAL,EL SEGUNDO,US WEST COAST,EL SEGUNDO SUPPLY AREA,SOCAL AREA,ELSE,0.11,62b4ed8e55df94fa208d4d4daa0135934e4efbc3eb432c040c9578fbd4b7728f,2022,Jul,0.32679608958455636
2943,OTHER,OTHER,TRANSMIX,CALCULATED,IN TANK,TERMINAL,PASCAGOULA,US EAST,PASCAGOULA SUPPLY AREA,FLORIDA,PASC,0.24,8bfca9ec8a2da0545a24d6786afcee2fb72a4b5d1b65772598ad39c5348b9498,2022,Jul,0.4282430233961944
2944,OTHER,OTHER,TRANSMIX,CALCULATED,IN TANK,TERMINAL,RICHMOND,US WEST COAST,RICHMOND SUPPLY AREA,BAY AREA,RICH,0.01,705df09061cb465a2bfe5f9ba7f0d7894fb3c218f0f1cecaab4214370c4de630,2022,Jul,0.21162834192390811
2945,OTHER,OTHER,TRANSMIX,CALCULATED,IN TANK,TERMINAL,EL SEGUNDO,US WEST COAST,EL SEGUNDO SUPPLY AREA,SOCAL AREA,ELSE,9.91,4ae8aa40e5903a22ef0941b3aba112239a21fcd4dfd0c8dd1da19def9eb24ee3,2022,Jul,4.492
2946,OTHER,OTHER,TRANSMIX,CALCULATED,IN TRANSIT,IN TRANSIT,EL SEGUNDO,US WEST COAST,EL SEGUNDO SUPPLY AREA,SOCAL AREA,ELSE,0.9,6e301a1e94903f1d5bf136d41115a68e245d6c8dc5095d13a36eefe4c92379c2,2022,Jul,2.864348564068234
2947,OTHER,OTHER,TRANSMIX,CALCULATED,IN TANK,IN TRANSIT,RICHMOND,US WEST COAST,RICHMOND SUPPLY AREA,BAY AREA,RICH,0.28,fb2014823dddaf848c17e08de095cd40c63bb6c4a3f108a89753b076e3db9522,2022,Aug,0.07707913275852146
2948,OTHER,OTHER,TRANSMIX,CALCULATED,IN TANK,TERMINAL,EL SEGUNDO,US WEST COAST,EL SEGUNDO SUPPLY AREA,SOCAL AREA,ELSE,0.11,d4e17fbb9e6fbfd70987ce6d8a26091e317dca6b39687144bac5057aba84cc95,2022,Aug,0.4499308160954541
2949,OTHER,OTHER,TRANSMIX,CALCULATED,IN TANK,TERMINAL,PASCAGOULA,US EAST,PASCAGOULA SUPPLY AREA,FLORIDA,PASC,0.24,b92970bcb50bf89d1d8f45e96fa6400fde976df5b9501a237e3cc65caa3a4fb0,2022,Aug,0.42884719658311354
2950,OTHER,OTHER,TRANSMIX,CALCULATED,IN TANK,TERMINAL,RICHMOND,US WEST COAST,RICHMOND SUPPLY AREA,BAY AREA,RICH,0.01,39f92606917bf44bbf472c902d1471dc7837cc7f96641a3d189955f07e85dce5,2022,Aug,0.06195997470652067
2951,OTHER,OTHER,TRANSMIX,CALCULATED,IN TRANSIT,IN TRANSIT,EL SEGUNDO,US WEST COAST,EL SEGUNDO SUPPLY AREA,SOCAL AREA,ELSE,1.03,d949aac08a98daf554bb6139b2936214abb68d7df6b6628fad7420ca5790fa0e,2022,Aug,2.3511987357459985
2952,OTHER,OTHER,TRANSMIX,CALCULATED,IN TRANSIT,IN TRANSIT,EL SEGUNDO,US WEST COAST,EL SEGUNDO SUPPLY AREA,SOCAL AREA,ELSE,0.9,dda95dc2a03ec84fd7ceb973828bd98c536cb5135119ddafc6b9f12b68ace12e,2022,Aug,2.2219839039777898
2953,OTHER,OTHER,TRANSMIX,CALCULATED,IN TANK,IN TRANSIT,RICHMOND,US WEST COAST,RICHMOND SUPPLY AREA,BAY AREA,RICH,0.28,bd27290dfaee11a42e97b7c024e2b73eaa6a24110e6a30587a576f71f4a5573b,2022,Sep,0.1799654602376866
2954,OTHER,OTHER,TRANSMIX,CALCULATED,IN TANK,TERMINAL,EL SEGUNDO,US WEST COAST,EL SEGUNDO SUPPLY AREA,SOCAL AREA,ELSE,0.11,770b40f39051469040938bce084779618c46fa2e528d88fd9d67ee87d3c073ba,2022,Sep,0.4475628141322883
2955,OTHER,OTHER,TRANSMIX,CALCULATED,IN TANK,TERMINAL,PASCAGOULA,US EAST,PASCAGOULA SUPPLY AREA,FLORIDA,PASC,0.24,cb45aac2e11952d18e5baa08adac5e53420b9fc1e2f2d2d036aa28654fffc6ea,2022,Sep,0.2027140339825248
